;VAGAS;LINKS;SALARIOS;LOCAL;LOCAL DA PUBLICACAO;RESUMO DA VAGA
0;Advogado;https://www.empregos.com.br/vagas/advogado/belo-horizonte/mg/6846850;A combinar;Belo Horizonte - MG;Belo Horizonte - MG;Irá atuar na defesa dos direitos ou interesses de indivíduos, empresas e instituições em qualquer instância, avalia os casos, provas orais e documentais, recomenda procedimentos e encaminha processos para justiça.
1;Advogado;https://www.empregos.com.br/vagas/advogado/sao-paulo/sp/6846782;A combinar;São Paulo - SP;São Paulo - SP;Irá atuar na defesa dos direitos ou interesses de indivíduos, empresas e instituições em qualquer instância, avalia os casos, provas orais e documentais. .
2;Advogado;https://www.empregos.com.br/vagas/advogado/uberlandia/mg/6844119;De R$ 3.501,00 a R$ 4.000,00;Uberlândia - MG;Uberlândia - MG;"Ajuizamento e condução das ações judiciais, Análise processual detalhada, Análise e elaboração de pareceres jurídicos, peças processuais, publicações, intimações, documentos e contratos, Acompanhamento de audiências, Avaliação, elaboração e interposição de Recursos, Controle de prazos processuais e agendamentos, Realização de pe...
Leia mais"
3;Advogado;https://www.empregos.com.br/vagas/advogado/rio-de-janeiro/rj/6844319;A combinar;Rio de Janeiro - RJ;Rio de Janeiro - RJ;"Descrição Descrição : Atuação em contencioso cível estratégico Disputas de Propriedade Intelectual marcas, patentes, desenhos industriais Direito da Concorrência Idiomas : Inglês Nível Fluente Outros requisitos : • Superior completo. • Possuir carteira da OAB. • Bons conhecimentos em direito processual cível e propriedade intel...
Leia mais"
4;Advogado;https://www.empregos.com.br/vagas/advogado/campinas/sp/6759211;A combinar;Campinas - SP;Campinas - SP;Irá atuar elaboração de petições, recursos, pareceres.
5;Advogado;https://www.empregos.com.br/vagas/advogado/porto-alegre/rs/6836642;De R$ 4.501,00 a R$ 5.000,00;Porto Alegre - RS;Porto Alegre - RS;Executar, atender e acompanhar demandas judiciais e elaborar planejamentos tributários, elaborar cálculos.
6;Advogado;https://www.empregos.com.br/vagas/advogado/santo-andre/sp/6835995;A combinar;Santo André - SP;Santo André - SP;"Atuará na defesa dos direitos ou interesses de indivíduos, empresas e instituições em qualquer instância, avaliar os casos, provas orais e documentais, recomendar procedimentos e encaminhar processos para justiça, realizar pesquisas jurídicas, elaborar peças iniciais, contestações, petições e recursos, acompanhar e comparecer em...
Leia mais"
7;Advogado;https://www.empregos.com.br/vagas/advogado/guarulhos/sp/6829329;A combinar;Guarulhos - SP;Guarulhos - SP;"Irá atuar na defesa dos direitos ou interesses de indivíduos, empresas e instituições em qualquer instância, avalia os casos, provas orais e documentais, recomenda procedimentos e encaminha processos para justiça. Realiza pesquisas jurídicas, elabora peças iniciais, contestações, petições e recursos, acompanha e comparece em aud...
Leia mais"
8;Advogado;https://www.empregos.com.br/vagas/advogado/monte-mor/sp/6826595;A combinar;Monte Mor - SP;Monte Mor - SP;"Irá analisar, elaborar e negociar contratos.
Participação em reuniões com clientes, fornecedores e parceiros.
Atuar de forma consultiva no suporte a gestores e rh."
