Nome do Jogo;Preco Original;Preco Promocional;Informacoes;Tempo Medio de Jogo
Star Wars: Legion - General Veers (expansão);47.99;47.99;"<p>Esta expans&atilde;o de STAR WARS: LEGION cont&eacute;m 1 miniatura de General Veers detalhadamente esculpida, sufciente para formar uma nova unidade de comandante, juntamente com novas cartas de unidade e de melhoria para serem usadas em batalha.</p>";60-120 min
Star Wars: Legion - Snowtroopers (expansão);89.99;89.99;"<p>Equipados para operar em condi&ccedil;&otilde;es planet&aacute;rias adversas, os snowtroopers s&atilde;o a infantaria de elite do Imp&eacute;rio Gal&aacute;tico. Utilizando equipamento especializado e treinados em t&aacute;ticas de ofensiva implac&aacute;veis, os snowtroopers se movem lentamente de maneira cont&iacute;nua, avan&ccedil;ando sobre o inimigo com ininterruptos disparos de blaster.</p>

<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 7 miniaturas de snowtroopers detalhadamente esculpidas, sufcientes para formarem uma nova unidade de tropa, juntamente com novas cartas de unidade e de melhoria para serem usadas em batalha.</p>";60-120 min
Star Wars: Legion - Leia Organa (expansão);47.99;47.99;"<p>Esta expans&atilde;o de STAR WARS: LEGION cont&eacute;m 1 miniatura de Leia Organa detalhadamente esculpida, suficiente para formar uma nova unidade de comandante, juntamente com novas cartas de unidade e de melhoria para serem usadas em batalha.</p>";60-120 min
Star Wars: Legion - Troopers de Frota (expansão);89.99;89.99;"<p>Conhecidos como troopers de frota, estes soldados da Alian&ccedil;a Rebelde s&atilde;o designados &agrave;s naves estelares da frota Rebelde. Treinados para lutar nos estreitos corredores de naves capitais, eles se destacam em tiroteios de curta dist&acirc;ncia. Encarregados de proteger pessoas e recursos vitais &agrave; Rebeli&atilde;o, sua bravura e dedica&ccedil;&atilde;o se tornaram famosas por toda a gal&aacute;xia.</p>

<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 7 miniaturas de troopers de frota detalhadamente esculpidas, sufcientes para formarem uma nova unidade de tropa, juntamente com novas cartas de unidade e de melhoria para serem usadas em batalha.</p>";60-120 min
Star Wars: Legion - Operadores de Canhão Laser 1.4 FD (expansão);89.99;89.99;"<p>Esta expans&atilde;o de STAR WARS: LEGION cont&eacute;m 1 miniatura de operadores de canh&atilde;o laser 1.4 FD detalhadamente esculpida, sufciente para formar uma nova unidade de suporte, juntamente com novas cartas de unidade e de melhoria para serem usadas em batalha.</p>";60-120 min
Star Wars: Legion - Operadores de Blaster Pesado E-Web (expansão);89.99;89.99;"<p>Esta expans&atilde;o de STAR WARS: LEGION cont&eacute;m 1 miniatura de operadores de blaster pesado E-Web detalhadamente esculpida, sufciente para formar uma nova unidade de suporte, juntamente com novas cartas de unidade e de melhoria para serem usadas em batalha.</p>";60-120 min
Star Wars: Legion - Recursos Vitais (expansão);89.99;89.99;"<p>Interceptar transmiss&otilde;es, proteger suprimentos cruciais, defender recursos locais; as batalhas da Guerra Civil Gal&aacute;tica s&atilde;o vencidas ou perdidas devido &agrave; habilidade dos comandantes e de suas tropas em completar os mais cr&iacute;ticos objetivos de miss&atilde;o.</p>

<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 12 miniaturas de objetivos de campo de batalha detalhadamente esculpidas, juntamente com novas cartas de batalha para enriquecer seu jogo. Estas miniaturas podem ser usadas para substituir as fchas de objetivo do jogo base de STAR WARS: LEGION, ou como pe&ccedil;as de terreno para aprimorar o cen&aacute;rio de seu campo de batalha</p>";60-120 min
Star Wars: Legion - Troopers de Reconhecimento (expansão);89.99;89.99;"<p>Possuindo grande mobilidade e a capacidade de operar com independ&ecirc;ncia, os troopers de reconhecimento utilizam armamentos especializados e podem adaptar suas t&aacute;ticas para confrontar seus inimigos a curta ou longa dist&acirc;ncia.</p>

<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 7 miniaturas de troopers de reconhecimento detalhadamente esculpidas, suficientes para formar duas unidades de for&ccedil;a especial diferentes: um esquadr&atilde;o completo e uma pequena equipe de ataque; bem como novas cartas de unidade e de melhoria para serem usadas em batalha.</p>";60-120 min
Star Wars: Legion - Han Solo (expansão);47.99;47.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 1 miniatura de Han Solo detalhadamente esculpida, suficiente para formar uma unidade de comandante, bem como novas cartas de unidade, de melhoriae de comando para usar em batalha.</p>";60-120 min
Star Wars: Legion - Comandos Rebeldes (expansão);89.99;89.99;"<p>Experientes em opera&ccedil;&otilde;es especiais e treinados em t&aacute;ticas de combate avan&ccedil;adas, os comandos Rebeldes contornam os arredores do campo de batalha e atacam a partir de densas coberturas. Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 7 miniaturas de comandos Rebeldes detalhadamente esculpidas, bem como novas cartas de unidade e de melhoria.</p>

<p>Estas miniaturas podem ser usadas para formar duas unidades de for&ccedil;a especial diferentes: um esquadr&atilde;o com quatro miniaturas e uma equipe de ataque de duas miniaturas. Cada uma destas unidades pode ser equipada com uma miniatura de franco-atirador ou de sabotador.</p>";60-120 min
Star Wars: Legion - Imperador Palpatine (expansão);47.99;47.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 1 miniatura de Imperador Palpatine detalhadamente esculpida, sufciente para formar uma unidade de comandante, bem como novas cartas de unidade, de melhoria e de comando para usar em batalha</p>

<p>&nbsp;</p>";60-120 min
Star Wars: Legion - Guarda Real do Império (expansão);107.99;107.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 4 miniaturas de Guardas Reais Imperiais detalhadamente esculpidas, sufciente para formar uma unidade de for&ccedil;as especiais, bem como novas cartas de unidade e de melhoria para usar em batalha.</p>";60-120 min
Star Wars: Legion - Chewbacca (expansão);47.99;47.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 1 miniatura de Chewbacca detalhadamente esculpida, sufciente para formar uma unidade de Agente, bem como novas cartas de unidade, de melhoria e de comando para usar em batalha.</p>";60-120 min
Star Wars: Legion - Guerreiros Wookie (expansão);89.99;89.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 4 miniaturas de guerreiros Wookiee detalhadamente esculpidas, sufciente para formar uma unidade de for&ccedil;as especiais, bem como novas cartas de unidade e de melhoria para usar em batalha.</p>";60-120 min
Star Wars: Legion - Especialistas Rebeldes (expansão);71.99;71.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 4 miniaturas de especialistas Rebeldes detalhadamente esculpidas, bem como novas cartas de unidade, de melhoria e de comando. Esta expans&atilde;o permite que um jogador use uma unidade de comandante Rebelde gen&eacute;rica e adicione as miniaturas deste pacote a outras unidades de seu ex&eacute;rcito</p>";60-120 min
